State,Drawn by,Party control,Finalized,Effective start,End date,Notes,PVI 2010,PVI ,Category
Alabama,Legislature,Republican,6/8/11,11/21/11,active,,R+13,13,Republican
Alaska,n/a,n/a,n/a,n/a,n/a,,R+13,13,N/A
Arizona,Independent commission,Split,1/17/12,4/9/12,active,,R+6,6,Commision
Arkansas,Legislature,Democratic,4/14/11,4/14/11,active,,R+9,9,Democratic
California,Independent commission,Split,8/15/11,8/15/11,active,,D+7,-7,Commision
Colorado,State court,n/a,12/5/11,12/5/11,active,,Even,0,Courts
Connecticut,State court,n/a,2/10/12,2/10/12,active,,D+7,-7,Courts
Delaware,n/a,n/a,n/a,n/a,n/a,,D+7,-7,N/A
Florida,Legislature,Republican,2/16/12,4/30/12,12/2/15,Struck by state court,R+2,2,Republican
Georgia,Legislature,Republican,9/6/11,12/23/11,active,,R+7,7,Republican
Hawaii,Politician commission,Split,9/26/11,9/26/11,active,,D+12,-12,Commision
Idaho,Independent commission,Split,10/17/11,10/17/11,active,,R+17,17,Commision
Illinois,Legislature,Democratic,6/24/11,6/24/11,active,,D+8,-8,Democratic
Indiana,Legislature,Republican,5/10/11,5/10/11,active,,R+6,6,Republican
Iowa,Legislature,Split,4/19/11,4/19/11,active,,D+1,-1,Split
Kansas,Federal court,n/a,6/7/12,6/7/12,active,,R+11,11,Courts
Kentucky,Legislature,Split,2/10/12,2/10/12,active,,R+10,10,Split
Louisiana,Legislature,Republican,4/14/11,8/1/11,active,,R+10,10,Split
Maine,Legislature,Split,9/28/11,9/28/11,active,,D+5,-5,Split
Maryland,Legislature,Democratic,10/20/11,10/20/11,active,,D+9,-9,Democratic
Massachusetts,Legislature,Democratic,11/21/11,11/21/11,active,,D+12,-12,Democratic
Michigan,Legislature,Republican,8/9/11,2/28/12,active,,D+4,-4,Republican
Minnesota,State court,n/a,2/21/12,2/21/12,active,,D+2,-2,Courts
Mississippi,Federal court,n/a,12/30/11,12/30/11,active,,R+10,10,Courts
Missouri,Legislature,Split,5/4/11,5/4/11,active,,R+3,3,Split
Montana,n/a,n/a,n/a,n/a,n/a,,R+7,7,N/A
Nebraska,Legislature,Nonpartisan,5/26/11,5/26/11,active,,R+13,13,Republican
Nevada,State court,n/a,10/27/11,10/27/11,active,,D+1,-1,Courts
New Hampshire,Legislature,Republican,4/23/12,6/22/12,active,,D+2,-2,Republican
New Jersey,Politician commission,Split,12/23/11,12/23/11,active,,D+4,-4,Split
New Mexico,State court,n/a,12/29/11,12/29/11,active,,D+2,-2,Courts
New York,Federal court,n/a,3/19/12,3/19/12,active,,D+10,-10,Courts
North Carolina,Legislature,Republican,7/27/11,11/1/11,2/19/16,Struck by federal court,R+4,4,Republican
North Dakota,n/a,n/a,n/a,n/a,n/a,,R+10,10,N/A
Ohio,Legislature,Republican,9/26/11,9/26/11,12/15/11,Superseded,R+1,1,Republican
Oklahoma,Legislature,Republican,5/10/11,5/10/11,active,,R+17,17,Republican
Oregon,Legislature,Split,6/30/11,6/30/11,active,,D+4,-4,Split
Pennsylvania,Legislature,Republican,12/22/11,12/22/11,2/19/18,Struck by state court,D+2,-2,Republican
Rhode Island,Legislature,Democratic,2/8/12,2/8/12,active,,D+11,-11,Democratic
South Carolina,Legislature,Republican,8/1/11,10/28/11,active,,R+8,8,Republican
South Dakota,n/a,n/a,n/a,n/a,n/a,,R+9,9,N/A
Tennessee,Legislature,Republican,1/26/12,1/26/12,active,,R+9,9,Republican
Texas,Federal court,n/a,2/28/12,2/28/12,active,,R+10,10,Courts
Utah,Legislature,Republican,10/20/11,10/20/11,active,,R+20,20,Republican
Vermont,n/a,n/a,n/a,n/a,n/a,,D+13,-2,N/A
Virginia,Legislature,Republican,1/25/12,3/14/12,1/7/16,Struck by federal court,R+2,2,Republican
Washington,Independent commission,Split,2/7/12,2/7/12,active,,D+5,-5,Commision
West Virginia,Legislature,Democratic,8/18/11,8/18/11,active,,R+8,8,Democratic
Wisconsin,Legislature,Republican,8/9/11,8/9/11,active,,D+2,-2,Republican
Wyoming,n/a,n/a,n/a,n/a,n/a,,R+20,20,N/A